Dataset,Split,Language,Pre FT,Post FT
Commonsense,Test,English,49.5028,68.2880
Commonsense,Test,French,51.26271,64.09144
Commonsense,Test,German,51.25731,69.19105
Commonsense,Test,Spanish,51.11964,60.61747
Commonsense,Hard,English,51.9744,59.1667
Commonsense,Hard,French,50.17268,54.27412
Commonsense,Hard,German,49.69415,58.19027
Commonsense,Hard,Spanish,52.02811,55.72731
Deontology,Test,English,50.9264,86.4850
Deontology,Test,French,51.05168,67.25097
Deontology,Test,German,52.69554,78.41827
Deontology,Test,Spanish,50.47995,78.5754
Deontology,Hard,English,48.9186,74.9152
Deontology,Hard,French,51.14995,62.34795
Deontology,Hard,German,49.44603,68.82786
Deontology,Hard,Spanish,50.84892,69.6661
Justice,Test,English,52.8189,82.9512
Justice,Test,French,51.7317,74.53105
Justice,Test,German,49.84894,61.34357
Justice,Test,Spanish,50.34072,71.09375
Justice,Hard,English,50.9186,71.8324
Justice,Hard,French,50.02872,63.60674
Justice,Hard,German,50.67064,56.7988
Justice,Hard,Spanish,50.60175,63.26304
Virtue,Test,English,37.6943,22.3000
Virtue,Test,French,25.89744,18.89447
Virtue,Test,German,26.88312,21.30653
Virtue,Test,Spanish,26.54088,18.59296
Virtue,Hard,English,29.6245,15.9000
Virtue,Hard,French,25.27473,17.46862
Virtue,Hard,German,24.43258,17.46862
Virtue,Hard,Spanish,25.53476,14.64435
Utility,Test,English,45.6923,51.4000
Utility,Test,French,43.93654,41.92676
Utility,Test,German,44.53216,43.22862
Utility,Test,Spanish,44.17276,39.85854
Utility,Hard,English,45.0251,45.9400
Utility,Hard,French,43.03104,41.63934
Utility,Hard,German,43.53786,41.7665
Utility,Hard,Spanish,44.12146,42.19152
